approach,system,dataset,repeats,most_selected_model,mape_mean,mae_mean,rmse_mean
baseline_lr,batlik,corona.csv,30,linear_regression,0.12167557942380772,0.18037968821388545,0.2590718729549126
baseline_lr,batlik,cranium.csv,30,linear_regression,0.03305911492757665,0.06916308156010446,0.0964087369311871
baseline_lr,batlik,cubus.csv,30,linear_regression,0.03948338284303094,0.24349685494375678,0.33474199625908324
baseline_lr,batlik,flame.csv,30,linear_regression,0.03216308124957075,0.057910150405410386,0.07693011556045387
baseline_lr,batlik,france.csv,30,linear_regression,0.039424595109345005,0.14576027526160004,0.19285377805273599
baseline_lr,batlik,frisco.csv,30,linear_regression,0.05087922039265231,0.24662049487138824,0.331063386074748
baseline_lr,batlik,jelly.csv,30,linear_regression,0.16950311161874293,0.3220240131317539,0.4392675445117263
baseline_lr,batlik,karte.csv,30,linear_regression,0.15060699059797084,1.4931233595958393,1.8789950382451468
baseline_lr,batlik,mandelbrot.csv,30,linear_regression,0.046036753548064586,0.060932512214953084,0.08372500568139145
baseline_lr,batlik,strawberry.csv,30,linear_regression,0.054620646716483076,0.09391293647137758,0.13055412852409903
baseline_lr,batlik,village.csv,30,linear_regression,0.5689886789419177,1.7903326090078937,2.4517857621053527
baseline_lr,dconvert,jpeg-large.csv,30,linear_regression,0.1357989569883299,0.41876100997706106,0.5637908584203816
baseline_lr,dconvert,jpeg-medium.csv,30,linear_regression,0.10289733679108141,0.17840517470399805,0.24060726566764987
baseline_lr,dconvert,jpeg-small.csv,30,linear_regression,0.034890098914518976,0.014964169526136436,0.019078822706434375
baseline_lr,dconvert,png-large.csv,30,linear_regression,0.09302086954659267,0.2193971210508617,0.27978275718602225
baseline_lr,dconvert,png-medium.csv,30,linear_regression,0.035625079555449156,0.023145811484233305,0.029223442794075818
baseline_lr,dconvert,png-small.csv,30,linear_regression,0.03303564831964385,0.014849012446377735,0.019630731684925018
baseline_lr,dconvert,psd-large.csv,30,linear_regression,0.014340310168438227,0.5380321395891869,0.8799250505491912
baseline_lr,dconvert,psd-medium.csv,30,linear_regression,0.05212481197131471,0.06766355652620645,0.08952880191819541
baseline_lr,dconvert,psd-small.csv,30,linear_regression,0.03571946700289357,0.0200066210846773,0.024911166241167782
baseline_lr,dconvert,svg-large.csv,30,linear_regression,0.02040291137626054,0.0307497500515353,0.03925916362220699
baseline_lr,dconvert,svg-medium.csv,30,linear_regression,0.017251389317594238,0.02655268826628209,0.03319380010654698
baseline_lr,dconvert,svg-small.csv,30,linear_regression,0.03599020138325556,0.020291860066775743,0.025437122000595485
baseline_lr,h2,smallbank-1.csv,30,linear_regression,0.05669164348560637,1111.5365371117261,1339.4669559228203
baseline_lr,h2,smallbank-10.csv,30,linear_regression,0.04587333423554351,623.3521558038441,753.9211653762665
baseline_lr,h2,tpcc-2.csv,30,linear_regression,0.04169929531032139,30.432807996828856,37.579401770052336
baseline_lr,h2,tpcc-8.csv,30,linear_regression,0.20416342018962952,107.2347126501795,162.69932637674322
baseline_lr,h2,voter-16.csv,30,linear_regression,0.07562883481240576,2384.835683770437,2646.9512739874804
baseline_lr,h2,voter-2.csv,30,linear_regression,0.07920813270813958,2486.8636511177197,2754.88537142526
baseline_lr,h2,ycsb-2400.csv,30,linear_regression,0.09039111385756192,1270.298024587913,1562.8771257779547
baseline_lr,h2,ycsb-600.csv,30,linear_regression,0.08394284619217286,1680.2592656361787,2072.7635146178277
baseline_lr,jump3r,beethoven.wav.csv,30,linear_regression,0.2573406893923554,2.2468338530949286,2.8965868861232935
baseline_lr,jump3r,dual-channel.wav.csv,30,linear_regression,0.23385245643367822,0.6151053769785675,0.8526319412958769
baseline_lr,jump3r,helix.wav.csv,30,linear_regression,0.25345201500940007,1.0993991745699074,1.5711447218731849
baseline_lr,jump3r,single-channel.wav.csv,30,linear_regression,0.18935930555904879,0.3237450527333067,0.42660056801506757
baseline_lr,jump3r,speech.wav.csv,30,linear_regression,0.1993336499266088,0.8107384984390279,1.024025350847265
baseline_lr,jump3r,sweep.wav.csv,30,linear_regression,0.11927888958213875,0.0694489258692574,0.08811204471580386
baseline_lr,kanzi,ambivert.csv,30,linear_regression,1.4739812700126826,17.12534560616792,27.459509573143258
baseline_lr,kanzi,artificl.csv,30,linear_regression,0.48080432027181685,0.19955530323861442,0.2921907433206063
baseline_lr,kanzi,deepfield.csv,30,linear_regression,17.6923224680227,19.001366388297004,28.81791427636437
baseline_lr,kanzi,enwik8.csv,30,linear_regression,2.7406223381572072,39.71922485182442,61.79488597579703
baseline_lr,kanzi,fannie_mae_500k.csv,30,linear_regression,4.268343805837623,34.89100128109037,53.34144778197005
